 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             DRP 
 Log Date:         84AUG10a
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.40   999.99  -10.296
      6.71   999.99  -10.314
      7.01   999.99  -10.331
      7.32   999.99  -10.351
      7.62   999.99  -10.365
      7.92   999.99  -10.377
      8.23   999.99  -10.385
      8.53   999.99  -10.389
      8.84   999.99  -10.393
      9.14   999.99  -10.399
      9.45   999.99  -10.402
      9.75   999.99  -10.406
     10.06   999.99  -10.406
     10.36   999.99  -10.408
     10.67   999.99  -10.408
     10.97   999.99  -10.406
     11.28   999.99  -10.404
     11.58   999.99  -10.401
     11.89   999.99  -10.397
     12.19   999.99  -10.393
     12.50   999.99  -10.387
     12.80   999.99  -10.382
     13.11   999.99  -10.377
     13.41   999.99  -10.370
     13.72   999.99  -10.345
     14.02   999.99  -10.338
     14.33   999.99  -10.325
     14.63   999.99  -10.317
     14.94   999.99  -10.310
     15.24   999.99  -10.301
     15.54   999.99  -10.293
     15.85   999.99  -10.285
     16.15   999.99  -10.276
     16.46   999.99  -10.266
     16.76   999.99  -10.258
     17.07   999.99  -10.249
     17.37   999.99  -10.239
     17.68   999.99  -10.232
     17.98   999.99  -10.220
     18.29   999.99  -10.211
     18.59   999.99  -10.203
     18.90   999.99  -10.191
     19.20   999.99  -10.183
     19.51   999.99  -10.136
     19.81   999.99  -10.117
     20.12   999.99  -10.108
     20.42   999.99  -10.097
     20.73   999.99  -10.085
     21.03   999.99  -10.078
     21.34   999.99  -10.067
     21.64   999.99  -10.057
     21.95   999.99  -10.049
     22.25   999.99  -10.038
     22.56   999.99  -10.028
     22.86   999.99  -10.021
     23.16   999.99  -10.013
     23.47   999.99  -10.005
     23.77   999.99   -9.998
     24.08   999.99   -9.989
     24.38   999.99   -9.982
     24.69   999.99   -9.974
     24.99   999.99   -9.965
     25.30   999.99   -9.960
     25.60   999.99   -9.950
     25.91   999.99   -9.941
     26.21   999.99   -9.934
     26.52   999.99   -9.925
     26.82   999.99   -9.916
     27.13   999.99   -9.908
     27.43   999.99   -9.899
     27.74   999.99   -9.891
     28.04   999.99   -9.883
     28.35   999.99   -9.875
     28.65   999.99   -9.867
     28.96   999.99   -9.859
     29.26   999.99   -9.850
     29.57   999.99   -9.844
     29.87   999.99   -9.835
     30.18   999.99   -9.827
     30.48   999.99   -9.820
     30.78   999.99   -9.814
     31.09   999.99   -9.805
     31.39   999.99   -9.798
     31.70   999.99   -9.789
     32.00   999.99   -9.781
     32.31   999.99   -9.775
     32.61   999.99   -9.755
     32.92   999.99   -9.739
     33.22   999.99   -9.720
     33.53   999.99   -9.695
     33.83   999.99   -9.674
     34.14   999.99   -9.653
     34.44   999.99   -9.497
     34.75   999.99   -9.397
     35.05   999.99   -9.314
     35.36   999.99   -9.254
     35.66   999.99   -9.218
     35.97   999.99   -9.194
     36.27   999.99   -9.175
     36.58   999.99   -9.163
     36.88   999.99   -9.153
     37.19   999.99   -9.145
     37.49   999.99   -9.139
     37.80   999.99   -9.135
     38.10   999.99   -9.131
     38.40   999.99   -9.128
     38.71   999.99   -9.125
     39.01   999.99   -9.122
     39.32   999.99   -9.118
     39.62   999.99   -9.114
     39.93   999.99   -9.113
     40.23   999.99   -9.113
     40.54   999.99   -9.109
     40.84   999.99   -9.106
     41.15   999.99   -9.102
     41.45   999.99   -9.097
     41.76   999.99   -9.095
     42.06   999.99   -9.092
     42.37   999.99   -9.088
     42.67   999.99   -9.081
     42.98   999.99   -9.073
     43.28   999.99   -9.066
     43.59   999.99   -9.062
     43.89   999.99   -9.056
     44.20   999.99   -9.050
     44.50   999.99   -9.043
     44.81   999.99   -9.037
     45.11   999.99   -9.033
     45.42   999.99   -9.028
     45.72   999.99   -9.025
     46.02   999.99   -9.021
     46.33   999.99   -9.017
     46.63   999.99   -9.010
     46.94   999.99   -9.005
     47.24   999.99   -8.997
     47.55   999.99   -8.993
     47.85   999.99   -8.989
     48.16   999.99   -8.985
     48.46   999.99   -8.980
     48.77   999.99   -8.977
     49.07   999.99   -8.974
     49.38   999.99   -8.970
     49.68   999.99   -8.965
     49.99   999.99   -8.959
     50.29   999.99   -8.953
     50.60   999.99   -8.949
     50.90   999.99   -8.943
     51.21   999.99   -8.937
     51.51   999.99   -8.932
     51.82   999.99   -8.928
     52.12   999.99   -8.926
     52.43   999.99   -8.920
     52.73   999.99   -8.915
     53.04   999.99   -8.910
     53.34   999.99   -8.906
     53.64   999.99   -8.899
     53.95   999.99   -8.891
     54.25   999.99   -8.882
     54.56   999.99   -8.874
     54.86   999.99   -8.869
     55.17   999.99   -8.863
     55.47   999.99   -8.857
     55.78   999.99   -8.851
     56.08   999.99   -8.845
     56.39   999.99   -8.839
     56.69   999.99   -8.834
     57.00   999.99   -8.830
     57.30   999.99   -8.825
     57.61   999.99   -8.820
     57.91   999.99   -8.815
     58.22   999.99   -8.808
     58.52   999.99   -8.802
     58.83   999.99   -8.796
     59.13   999.99   -8.791
     59.44   999.99   -8.784
     59.74   999.99   -8.779
     60.05   999.99   -8.775
     60.35   999.99   -8.770
     60.66   999.99   -8.762
     60.96   999.99   -8.755
     61.26   999.99   -8.749
     61.57   999.99   -8.742
     61.87   999.99   -8.735
     62.18   999.99   -8.730
     62.48   999.99   -8.723
     62.79   999.99   -8.718
     63.09   999.99   -8.711
     63.40   999.99   -8.704
     63.70   999.99   -8.697
     64.01   999.99   -8.692
     64.31   999.99   -8.688
     64.62   999.99   -8.684
     64.92   999.99   -8.678
     65.23   999.99   -8.674
     65.53   999.99   -8.670
     65.84   999.99   -8.665
     66.14   999.99   -8.659
     66.45   999.99   -8.654
     66.75   999.99   -8.649
     67.06   999.99   -8.645
     67.36   999.99   -8.639
     67.67   999.99   -8.632
     67.97   999.99   -8.626
     68.28   999.99   -8.619
     68.58   999.99   -8.613
     68.88   999.99   -8.607
     69.19   999.99   -8.599
     69.49   999.99   -8.591
     69.80   999.99   -8.583
     70.10   999.99   -8.574
     70.41   999.99   -8.566
     70.71   999.99   -8.562
     71.02   999.99   -8.555
     71.32   999.99   -8.550
     71.63   999.99   -8.546
     71.93   999.99   -8.542
     72.24   999.99   -8.536
     72.54   999.99   -8.532
     72.85   999.99   -8.525
     73.15   999.99   -8.518
     73.46   999.99   -8.512
     73.76   999.99   -8.507
     74.07   999.99   -8.502
     74.37   999.99   -8.493
     74.68   999.99   -8.485
     74.98   999.99   -8.479
     75.29   999.99   -8.473
     75.59   999.99   -8.465
     75.90   999.99   -8.457
     76.20   999.99   -8.450
     76.50   999.99   -8.443
     76.81   999.99   -8.436
     77.11   999.99   -8.429
     77.42   999.99   -8.425
     77.72   999.99   -8.416
     78.03   999.99   -8.409
     78.33   999.99   -8.403
     78.64   999.99   -8.398
     78.94   999.99   -8.392
     79.25   999.99   -8.385
     79.55   999.99   -8.375
     79.86   999.99   -8.367
     80.16   999.99   -8.358
