year, 	month, 	day, 	hour, 	minute, 	second,	Significant Wave Height (m), 	Peak period (s), 	Ice thickness (m)
   2.0120000e+03   8.0000000e+00   1.2000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.2000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   1.4698013e+00
   2.0120000e+03   8.0000000e+00   1.3000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   2.6888672e-01
   2.0120000e+03   8.0000000e+00   1.3000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.4802441e-01
   2.0120000e+03   8.0000000e+00   1.3000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.2049316e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.1220703e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   5.9051270e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   5.9426270e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   5.7824219e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.2462402e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.2157227e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   5.7904297e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   5.4268066e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   5.7959961e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   6.4992676e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.6278320e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.5966309e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.9698242e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.1933105e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.4880859e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.4451660e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.8731445e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.1446777e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.0681641e-02
   2.0120000e+03   8.0000000e+00   1.3000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   8.7416504e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   7.4597656e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   7.2332520e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.9301270e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.4842773e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.3864258e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   3.3981592e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   7.0245117e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   8.3449219e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   1.4630811e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   6.9188330e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   1.3616768e+00
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   9.0959033e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   9.2137402e-01
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   6.7204590e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.2070313e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   4.5730469e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.6704590e-02
   2.0120000e+03   8.0000000e+00   1.4000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   7.0458496e-02
